threshold,tp,fp,tn,fn,K,f2,maxat,f1,fold,plus,minus,comment
-0.01,38,875,0,0,1,0.178,-0.01,0.080,0,5,1,
0.00,11,32,843,27,1,0.282,0.00,0.272,0,5,1,
0.01,11,32,843,27,1,0.282,0.00,0.272,0,5,1,
0.02,11,32,843,27,1,0.282,0.00,0.272,0,5,1,
0.03,11,32,843,27,1,0.282,0.00,0.272,0,5,1,
0.04,11,32,843,27,1,0.282,0.00,0.272,0,5,1,
0.05,11,32,843,27,1,0.282,0.00,0.272,0,5,1,
0.06,11,32,843,27,1,0.282,0.00,0.272,0,5,1,
0.07,11,32,843,27,1,0.282,0.00,0.272,0,5,1,
0.08,11,32,843,27,1,0.282,0.00,0.272,0,5,1,
0.09,11,32,843,27,1,0.282,0.00,0.272,0,5,1,
0.10,11,32,843,27,1,0.282,0.00,0.272,0,5,1,
0.11,11,32,843,27,1,0.282,0.00,0.272,0,5,1,
0.12,11,32,843,27,1,0.282,0.00,0.272,0,5,1,
0.13,11,32,843,27,1,0.282,0.00,0.272,0,5,1,
0.14,11,32,843,27,1,0.282,0.00,0.272,0,5,1,
0.15,11,31,844,27,1,0.284,0.15,0.275,0,5,1,
0.16,11,31,844,27,1,0.284,0.15,0.275,0,5,1,
0.17,11,28,847,27,1,0.288,0.17,0.286,0,5,1,
0.18,11,28,847,27,1,0.288,0.17,0.286,0,5,1,
0.19,11,28,847,27,1,0.288,0.17,0.286,0,5,1,
0.20,10,18,857,28,1,0.278,0.17,0.303,0,5,1,
0.21,10,18,857,28,1,0.278,0.17,0.303,0,5,1,
0.22,10,18,857,28,1,0.278,0.17,0.303,0,5,1,
0.23,10,18,857,28,1,0.278,0.17,0.303,0,5,1,
0.24,10,18,857,28,1,0.278,0.17,0.303,0,5,1,
0.25,10,14,861,28,1,0.284,0.17,0.323,0,5,1,
0.26,10,14,861,28,1,0.284,0.17,0.323,0,5,1,
0.27,10,14,861,28,1,0.284,0.17,0.323,0,5,1,
0.28,10,14,861,28,1,0.284,0.17,0.323,0,5,1,
0.29,10,14,861,28,1,0.284,0.17,0.323,0,5,1,
0.30,10,14,861,28,1,0.284,0.17,0.323,0,5,1,
0.31,10,14,861,28,1,0.284,0.17,0.323,0,5,1,
0.32,10,14,861,28,1,0.284,0.17,0.323,0,5,1,
0.33,10,14,861,28,1,0.284,0.17,0.323,0,5,1,
0.34,2,3,872,36,1,0.064,0.17,0.093,0,5,1,
0.35,2,3,872,36,1,0.064,0.17,0.093,0,5,1,
0.36,2,3,872,36,1,0.064,0.17,0.093,0,5,1,
0.37,2,3,872,36,1,0.064,0.17,0.093,0,5,1,
0.38,2,3,872,36,1,0.064,0.17,0.093,0,5,1,
0.39,2,3,872,36,1,0.064,0.17,0.093,0,5,1,
0.40,2,3,872,36,1,0.064,0.17,0.093,0,5,1,
0.41,2,3,872,36,1,0.064,0.17,0.093,0,5,1,
0.42,2,3,872,36,1,0.064,0.17,0.093,0,5,1,
0.43,2,3,872,36,1,0.064,0.17,0.093,0,5,1,
0.44,2,3,872,36,1,0.064,0.17,0.093,0,5,1,
0.45,2,3,872,36,1,0.064,0.17,0.093,0,5,1,
0.46,2,3,872,36,1,0.064,0.17,0.093,0,5,1,
0.47,2,3,872,36,1,0.064,0.17,0.093,0,5,1,
0.48,2,3,872,36,1,0.064,0.17,0.093,0,5,1,
0.49,2,3,872,36,1,0.064,0.17,0.093,0,5,1,
0.50,0,0,875,38,1,0.000,0.17,0.000,0,5,1,
0.51,0,0,875,38,1,0.000,0.17,0.000,0,5,1,
0.52,0,0,875,38,1,0.000,0.17,0.000,0,5,1,
0.53,0,0,875,38,1,0.000,0.17,0.000,0,5,1,
0.54,0,0,875,38,1,0.000,0.17,0.000,0,5,1,
0.55,0,0,875,38,1,0.000,0.17,0.000,0,5,1,
0.56,0,0,875,38,1,0.000,0.17,0.000,0,5,1,
0.57,0,0,875,38,1,0.000,0.17,0.000,0,5,1,
0.58,0,0,875,38,1,0.000,0.17,0.000,0,5,1,
0.59,0,0,875,38,1,0.000,0.17,0.000,0,5,1,
0.60,0,0,875,38,1,0.000,0.17,0.000,0,5,1,
0.61,0,0,875,38,1,0.000,0.17,0.000,0,5,1,
0.62,0,0,875,38,1,0.000,0.17,0.000,0,5,1,
0.63,0,0,875,38,1,0.000,0.17,0.000,0,5,1,
0.64,0,0,875,38,1,0.000,0.17,0.000,0,5,1,
0.65,0,0,875,38,1,0.000,0.17,0.000,0,5,1,
0.66,0,0,875,38,1,0.000,0.17,0.000,0,5,1,
0.67,0,0,875,38,1,0.000,0.17,0.000,0,5,1,
0.68,0,0,875,38,1,0.000,0.17,0.000,0,5,1,
0.69,0,0,875,38,1,0.000,0.17,0.000,0,5,1,
0.70,0,0,875,38,1,0.000,0.17,0.000,0,5,1,
0.71,0,0,875,38,1,0.000,0.17,0.000,0,5,1,
0.72,0,0,875,38,1,0.000,0.17,0.000,0,5,1,
0.73,0,0,875,38,1,0.000,0.17,0.000,0,5,1,
0.74,0,0,875,38,1,0.000,0.17,0.000,0,5,1,
0.75,0,0,875,38,1,0.000,0.17,0.000,0,5,1,
0.76,0,0,875,38,1,0.000,0.17,0.000,0,5,1,
0.77,0,0,875,38,1,0.000,0.17,0.000,0,5,1,
0.78,0,0,875,38,1,0.000,0.17,0.000,0,5,1,
0.79,0,0,875,38,1,0.000,0.17,0.000,0,5,1,
0.80,0,0,875,38,1,0.000,0.17,0.000,0,5,1,
0.81,0,0,875,38,1,0.000,0.17,0.000,0,5,1,
0.82,0,0,875,38,1,0.000,0.17,0.000,0,5,1,
0.83,0,0,875,38,1,0.000,0.17,0.000,0,5,1,
0.84,0,0,875,38,1,0.000,0.17,0.000,0,5,1,
0.85,0,0,875,38,1,0.000,0.17,0.000,0,5,1,
0.86,0,0,875,38,1,0.000,0.17,0.000,0,5,1,
0.87,0,0,875,38,1,0.000,0.17,0.000,0,5,1,
0.88,0,0,875,38,1,0.000,0.17,0.000,0,5,1,
0.89,0,0,875,38,1,0.000,0.17,0.000,0,5,1,
0.90,0,0,875,38,1,0.000,0.17,0.000,0,5,1,
0.91,0,0,875,38,1,0.000,0.17,0.000,0,5,1,
0.92,0,0,875,38,1,0.000,0.17,0.000,0,5,1,
0.93,0,0,875,38,1,0.000,0.17,0.000,0,5,1,
0.94,0,0,875,38,1,0.000,0.17,0.000,0,5,1,
0.95,0,0,875,38,1,0.000,0.17,0.000,0,5,1,
0.96,0,0,875,38,1,0.000,0.17,0.000,0,5,1,
0.97,0,0,875,38,1,0.000,0.17,0.000,0,5,1,
