threshold,tp,fp,tn,fn,K,f2,maxat,f1,fold,plus,minus,comment
-0.01,10,95,0,0,1,0.345,-0.01,0.174,0,5,1,
0.00,10,11,84,0,1,0.820,0.00,0.645,0,5,1,
0.01,10,11,84,0,1,0.820,0.00,0.645,0,5,1,
0.02,10,11,84,0,1,0.820,0.00,0.645,0,5,1,
0.03,10,11,84,0,1,0.820,0.00,0.645,0,5,1,
0.04,10,11,84,0,1,0.820,0.00,0.645,0,5,1,
0.05,10,11,84,0,1,0.820,0.00,0.645,0,5,1,
0.06,10,11,84,0,1,0.820,0.00,0.645,0,5,1,
0.07,10,11,84,0,1,0.820,0.00,0.645,0,5,1,
0.08,10,11,84,0,1,0.820,0.00,0.645,0,5,1,
0.09,10,10,85,0,1,0.833,0.09,0.667,0,5,1,
0.10,10,10,85,0,1,0.833,0.09,0.667,0,5,1,
0.11,10,10,85,0,1,0.833,0.09,0.667,0,5,1,
0.12,10,10,85,0,1,0.833,0.09,0.667,0,5,1,
0.13,10,9,86,0,1,0.847,0.13,0.690,0,5,1,
0.14,10,9,86,0,1,0.847,0.13,0.690,0,5,1,
0.15,10,8,87,0,1,0.862,0.15,0.714,0,5,1,
0.16,10,8,87,0,1,0.862,0.15,0.714,0,5,1,
0.17,10,5,90,0,1,0.909,0.17,0.800,0,5,1,
0.18,10,5,90,0,1,0.909,0.17,0.800,0,5,1,
0.19,10,5,90,0,1,0.909,0.17,0.800,0,5,1,
0.20,10,5,90,0,1,0.909,0.17,0.800,0,5,1,
0.21,10,5,90,0,1,0.909,0.17,0.800,0,5,1,
0.22,10,5,90,0,1,0.909,0.17,0.800,0,5,1,
0.23,10,5,90,0,1,0.909,0.17,0.800,0,5,1,
0.24,10,5,90,0,1,0.909,0.17,0.800,0,5,1,
0.25,3,1,94,7,1,0.341,0.17,0.429,0,5,1,
0.26,3,1,94,7,1,0.341,0.17,0.429,0,5,1,
0.27,3,1,94,7,1,0.341,0.17,0.429,0,5,1,
0.28,3,1,94,7,1,0.341,0.17,0.429,0,5,1,
0.29,3,1,94,7,1,0.341,0.17,0.429,0,5,1,
0.30,3,1,94,7,1,0.341,0.17,0.429,0,5,1,
0.31,3,1,94,7,1,0.341,0.17,0.429,0,5,1,
0.32,3,1,94,7,1,0.341,0.17,0.429,0,5,1,
0.33,3,1,94,7,1,0.341,0.17,0.429,0,5,1,
0.34,0,0,95,10,1,0.000,0.17,0.000,0,5,1,
0.35,0,0,95,10,1,0.000,0.17,0.000,0,5,1,
0.36,0,0,95,10,1,0.000,0.17,0.000,0,5,1,
0.37,0,0,95,10,1,0.000,0.17,0.000,0,5,1,
0.38,0,0,95,10,1,0.000,0.17,0.000,0,5,1,
0.39,0,0,95,10,1,0.000,0.17,0.000,0,5,1,
0.40,0,0,95,10,1,0.000,0.17,0.000,0,5,1,
0.41,0,0,95,10,1,0.000,0.17,0.000,0,5,1,
