program,model,filter,plus,minus,AD,AD train,AD test,best train,predicted,best test,fold,dwc
Asterisk,c,-999,5,1,0.024,0.025,0.017,0.515,0.000,0.043,0,3187
Asterisk,c,-999,5,1,0.024,0.023,0.027,0.513,0.000,0.069,1,3208
Asterisk,c,-999,5,1,0.024,0.022,0.031,0.470,0.000,0.067,2,3170
Asterisk,c,-999,5,1,0.024,0.027,0.010,0.486,0.000,0.038,3,3173
Asterisk,c,-999,5,1,0.024,0.021,0.034,0.401,0.000,0.084,4,3183
Asterisk,c,0.00,5,1,0.024,0.025,0.017,0.503,0.000,0.000,0,23
Asterisk,c,0.00,5,1,0.024,0.023,0.027,0.513,0.000,0.000,1,26
Asterisk,c,0.00,5,1,0.024,0.022,0.031,0.470,0.000,0.000,2,22
Asterisk,c,0.00,5,1,0.024,0.027,0.010,0.486,0.000,0.000,3,25
Asterisk,c,0.00,5,1,0.024,0.021,0.034,0.401,0.000,0.000,4,16
VDISC,c,-999,10,1,0.280,0.280,0.281,0.419,0.325,0.326,0,130076
VDISC,c,-999,10,1,0.280,0.280,0.279,0.419,0.309,0.328,1,129989
VDISC,c,-999,10,1,0.280,0.280,0.280,0.417,0.308,0.333,2,129892
VDISC,c,-999,10,1,0.280,0.280,0.282,0.417,0.310,0.335,3,129864
VDISC,c,-999,10,1,0.280,0.281,0.279,0.419,0.305,0.329,4,130008
VDISC,c,0.00,10,1,0.280,0.280,0.281,0.418,0.325,0.326,0,18458
VDISC,c,0.00,10,1,0.280,0.280,0.279,0.419,0.309,0.328,1,18464
VDISC,c,0.00,10,1,0.280,0.280,0.280,0.417,0.308,0.333,2,18474
VDISC,c,0.00,10,1,0.280,0.280,0.282,0.417,0.310,0.335,3,18427
VDISC,c,0.00,10,1,0.280,0.281,0.279,0.419,0.305,0.329,4,18565
FFmpeg,c,-999,7,4,0.174,0.172,0.178,0.786,0.389,0.366,0,2129
FFmpeg,c,-999,3,4,0.174,0.174,0.170,0.777,0.314,0.331,1,2082
FFmpeg,c,-999,9,4,0.174,0.173,0.174,0.776,0.455,0.465,2,2129
FFmpeg,c,-999,9,4,0.174,0.177,0.158,0.763,0.324,0.361,3,2112
FFmpeg,c,-999,7,4,0.174,0.170,0.187,0.795,0.391,0.405,4,2105
FFmpeg,c,0.00,7,4,0.174,0.172,0.178,0.782,0.320,0.369,0,121
FFmpeg,c,0.00,1,1,0.174,0.174,0.170,0.769,0.316,0.325,1,117
FFmpeg,c,0.00,9,4,0.174,0.173,0.174,0.774,0.455,0.465,2,133
FFmpeg,c,0.00,9,4,0.174,0.177,0.158,0.757,0.324,0.342,3,131
FFmpeg,c,0.00,7,4,0.174,0.170,0.187,0.792,0.391,0.405,4,127
LibPNG,c,-999,5,1,0.240,0.210,0.345,0.880,0.638,0.909,0,328
LibPNG,c,-999,3,4,0.240,0.257,0.165,0.865,0.682,0.714,1,324
LibPNG,c,-999,11,4,0.240,0.226,0.292,0.890,0.581,0.784,2,333
LibPNG,c,-999,5,1,0.240,0.250,0.200,0.897,0.400,0.893,3,322
LibPNG,c,-999,9,4,0.240,0.256,0.169,0.839,0.952,0.952,4,327
LibPNG,c,0.00,5,1,0.240,0.210,0.345,0.880,0.638,0.909,0,29
LibPNG,c,0.00,5,1,0.240,0.257,0.165,0.860,0.625,0.800,1,35
LibPNG,c,0.00,11,4,0.240,0.226,0.292,0.890,0.581,0.784,2,28
LibPNG,c,0.00,5,1,0.240,0.250,0.200,0.897,0.400,0.893,3,31
LibPNG,c,0.00,9,4,0.240,0.256,0.169,0.839,0.952,0.952,4,31
LibTIFF,c,-999,3,4,0.418,0.414,0.435,0.814,0.443,0.505,0,423
LibTIFF,c,-999,3,4,0.418,0.380,0.542,0.861,0.333,0.537,1,443
LibTIFF,c,-999,1,1,0.418,0.428,0.378,0.849,0.643,0.667,2,439
LibTIFF,c,-999,5,2,0.418,0.428,0.378,0.826,0.368,0.570,3,425
LibTIFF,c,-999,7,4,0.418,0.439,0.318,0.833,0.385,0.432,4,438
LibTIFF,c,0.00,1,1,0.418,0.414,0.435,0.793,0.438,0.455,0,53
LibTIFF,c,0.00,1,1,0.418,0.380,0.542,0.845,0.330,0.340,1,52
LibTIFF,c,0.00,1,1,0.418,0.428,0.378,0.849,0.643,0.667,2,59
LibTIFF,c,0.00,11,4,0.418,0.428,0.378,0.824,0.373,0.570,3,76
LibTIFF,c,0.00,7,4,0.418,0.439,0.318,0.833,0.385,0.481,4,66
Pidgin,c,-999,5,1,0.019,0.019,0.018,0.833,0.962,1.000,0,1866
Pidgin,c,-999,1,1,0.019,0.021,0.011,0.905,0.682,0.750,1,1896
Pidgin,c,-999,5,1,0.019,0.021,0.011,0.870,0.882,0.938,2,1887
Pidgin,c,-999,3,1,0.019,0.016,0.029,0.825,0.294,0.326,3,1875
Pidgin,c,-999,5,1,0.019,0.017,0.025,0.969,0.323,0.323,4,1906
Pidgin,c,0.00,5,1,0.019,0.019,0.018,0.864,0.769,1.000,0,28
Pidgin,c,0.00,5,1,0.019,0.021,0.011,0.913,0.682,0.833,1,33
Pidgin,c,0.00,5,1,0.019,0.021,0.011,0.890,0.938,0.938,2,30
Pidgin,c,0.00,5,1,0.019,0.016,0.029,0.860,0.294,0.294,3,20
Pidgin,c,0.00,5,1,0.019,0.017,0.025,0.969,0.323,0.323,4,28
