program,model,filter,plus,minus,AD,AD train,AD test,best train,predicted,best test,fold,dwc
Asterisk,m,0.00,x,x,0.024,0.025,0.017,0.043,0.033,0.033,0,3187
Asterisk,m,0.00,x,x,0.024,0.023,0.027,0.032,0.092,0.093,1,3208
Asterisk,m,0.00,x,x,0.024,0.022,0.031,0.043,0.032,0.047,2,3170
Asterisk,m,0.00,x,x,0.024,0.027,0.010,0.050,0.016,0.020,3,3173
Asterisk,m,0.00,x,x,0.024,0.021,0.034,0.044,0.029,0.043,4,3183
Asterisk,m,0.05,x,x,0.024,0.025,0.017,0.044,0.035,0.066,0,2181
Asterisk,m,0.05,x,x,0.024,0.023,0.027,0.034,0.032,0.088,1,2189
Asterisk,m,0.05,x,x,0.024,0.022,0.031,0.042,0.031,0.066,2,2167
Asterisk,m,0.05,x,x,0.024,0.027,0.010,0.047,0.016,0.018,3,2180
Asterisk,m,0.05,x,x,0.024,0.021,0.034,0.042,0.028,0.044,4,2171
Asterisk,m,0.10,x,x,0.024,0.025,0.017,0.036,0.025,0.044,0,2014
Asterisk,m,0.10,x,x,0.024,0.023,0.027,0.039,0.023,0.080,1,2024
Asterisk,m,0.10,x,x,0.024,0.022,0.031,0.039,0.026,0.066,2,2012
Asterisk,m,0.10,x,x,0.024,0.027,0.010,0.047,0.016,0.020,3,2015
Asterisk,m,0.10,x,x,0.024,0.021,0.034,0.042,0.028,0.040,4,2008
Asterisk,m,0.15,x,x,0.024,0.025,0.017,0.037,0.022,0.056,0,1904
Asterisk,m,0.15,x,x,0.024,0.023,0.027,0.037,0.031,0.086,1,1914
Asterisk,m,0.15,x,x,0.024,0.022,0.031,0.040,0.029,0.065,2,1907
Asterisk,m,0.15,x,x,0.024,0.027,0.010,0.046,0.015,0.025,3,1909
Asterisk,m,0.15,x,x,0.024,0.021,0.034,0.041,0.023,0.044,4,1900
Asterisk,m,0.20,x,x,0.024,0.025,0.017,0.038,0.023,0.057,0,1811
Asterisk,m,0.20,x,x,0.024,0.023,0.027,0.037,0.032,0.093,1,1822
Asterisk,m,0.20,x,x,0.024,0.022,0.031,0.043,0.032,0.067,2,1812
Asterisk,m,0.20,x,x,0.024,0.027,0.010,0.050,0.016,0.018,3,1819
Asterisk,m,0.20,x,x,0.024,0.021,0.034,0.044,0.029,0.045,4,1806
Asterisk,m,0.25,x,x,0.024,0.025,0.017,0.038,0.023,0.057,0,1735
Asterisk,m,0.25,x,x,0.024,0.023,0.027,0.038,0.032,0.089,1,1740
Asterisk,m,0.25,x,x,0.024,0.022,0.031,0.042,0.031,0.066,2,1737
Asterisk,m,0.25,x,x,0.024,0.027,0.010,0.047,0.016,0.018,3,1743
Asterisk,m,0.25,x,x,0.024,0.021,0.034,0.042,0.028,0.047,4,1729
Asterisk,m,0.30,x,x,0.024,0.025,0.017,0.039,0.024,0.057,0,1676
Asterisk,m,0.30,x,x,0.024,0.023,0.027,0.038,0.034,0.097,1,1682
Asterisk,m,0.30,x,x,0.024,0.022,0.031,0.044,0.033,0.067,2,1682
Asterisk,m,0.30,x,x,0.024,0.027,0.010,0.050,0.016,0.019,3,1690
Asterisk,m,0.30,x,x,0.024,0.021,0.034,0.044,0.029,0.048,4,1673
Asterisk,m,0.35,x,x,0.024,0.025,0.017,0.044,0.034,0.066,0,1621
Asterisk,m,0.35,x,x,0.024,0.023,0.027,0.039,0.035,0.097,1,1626
Asterisk,m,0.35,x,x,0.024,0.022,0.031,0.044,0.033,0.066,2,1625
Asterisk,m,0.35,x,x,0.024,0.027,0.010,0.050,0.016,0.019,3,1632
Asterisk,m,0.35,x,x,0.024,0.021,0.034,0.045,0.030,0.049,4,1613
Asterisk,m,0.40,x,x,0.024,0.025,0.017,0.045,0.035,0.066,0,1559
Asterisk,m,0.40,x,x,0.024,0.023,0.027,0.041,0.037,0.097,1,1566
Asterisk,m,0.40,x,x,0.024,0.022,0.031,0.045,0.034,0.066,2,1565
Asterisk,m,0.40,x,x,0.024,0.027,0.010,0.051,0.017,0.020,3,1572
Asterisk,m,0.40,x,x,0.024,0.021,0.034,0.046,0.030,0.051,4,1552
Asterisk,m,0.45,x,x,0.024,0.025,0.017,0.043,0.026,0.057,0,1504
Asterisk,m,0.45,x,x,0.024,0.023,0.027,0.042,0.038,0.056,1,1516
Asterisk,m,0.45,x,x,0.024,0.022,0.031,0.035,0.065,0.068,2,1512
Asterisk,m,0.45,x,x,0.024,0.027,0.010,0.046,0.021,0.021,3,1514
Asterisk,m,0.45,x,x,0.024,0.021,0.034,0.037,0.052,0.052,4,1497
Asterisk,m,0.50,x,x,0.024,0.025,0.017,0.045,0.027,0.058,0,1446
Asterisk,m,0.50,x,x,0.024,0.023,0.027,0.043,0.039,0.058,1,1459
Asterisk,m,0.50,x,x,0.024,0.022,0.031,0.037,0.068,0.069,2,1455
Asterisk,m,0.50,x,x,0.024,0.027,0.010,0.047,0.022,0.024,3,1458
Asterisk,m,0.50,x,x,0.024,0.021,0.034,0.038,0.055,0.055,4,1443
Asterisk,m,0.55,x,x,0.024,0.025,0.017,0.045,0.027,0.065,0,1399
Asterisk,m,0.55,x,x,0.024,0.023,0.027,0.043,0.039,0.060,1,1411
Asterisk,m,0.55,x,x,0.024,0.022,0.031,0.038,0.062,0.071,2,1406
Asterisk,m,0.55,x,x,0.024,0.027,0.010,0.047,0.022,0.028,3,1406
Asterisk,m,0.55,x,x,0.024,0.021,0.034,0.039,0.055,0.055,4,1394
Asterisk,m,0.60,x,x,0.024,0.025,0.017,0.045,0.028,0.040,0,1355
Asterisk,m,0.60,x,x,0.024,0.023,0.027,0.043,0.041,0.062,1,1368
Asterisk,m,0.60,x,x,0.024,0.022,0.031,0.038,0.063,0.068,2,1363
Asterisk,m,0.60,x,x,0.024,0.027,0.010,0.047,0.023,0.023,3,1361
Asterisk,m,0.60,x,x,0.024,0.021,0.034,0.039,0.055,0.056,4,1350
Asterisk,m,0.65,x,x,0.024,0.025,0.017,0.045,0.027,0.042,0,1303
Asterisk,m,0.65,x,x,0.024,0.023,0.027,0.044,0.039,0.064,1,1318
Asterisk,m,0.65,x,x,0.024,0.022,0.031,0.039,0.063,0.072,2,1310
Asterisk,m,0.65,x,x,0.024,0.027,0.010,0.047,0.023,0.024,3,1304
Asterisk,m,0.65,x,x,0.024,0.021,0.034,0.039,0.058,0.058,4,1297
Asterisk,m,0.70,x,x,0.024,0.025,0.017,0.046,0.029,0.041,0,1244
Asterisk,m,0.70,x,x,0.024,0.023,0.027,0.044,0.036,0.068,1,1263
Asterisk,m,0.70,x,x,0.024,0.022,0.031,0.039,0.064,0.075,2,1252
Asterisk,m,0.70,x,x,0.024,0.027,0.010,0.048,0.023,0.024,3,1250
Asterisk,m,0.70,x,x,0.024,0.021,0.034,0.038,0.057,0.059,4,1239
Asterisk,m,0.75,x,x,0.024,0.025,0.017,0.046,0.029,0.041,0,1181
Asterisk,m,0.75,x,x,0.024,0.023,0.027,0.044,0.041,0.069,1,1197
Asterisk,m,0.75,x,x,0.024,0.022,0.031,0.039,0.063,0.081,2,1193
Asterisk,m,0.75,x,x,0.024,0.027,0.010,0.048,0.023,0.025,3,1190
Asterisk,m,0.75,x,x,0.024,0.021,0.034,0.038,0.057,0.057,4,1184
Asterisk,m,0.80,x,x,0.024,0.025,0.017,0.045,0.027,0.033,0,1118
Asterisk,m,0.80,x,x,0.024,0.023,0.027,0.044,0.024,0.074,1,1136
Asterisk,m,0.80,x,x,0.024,0.022,0.031,0.039,0.059,0.083,2,1128
Asterisk,m,0.80,x,x,0.024,0.027,0.010,0.048,0.023,0.027,3,1127
Asterisk,m,0.80,x,x,0.024,0.021,0.034,0.038,0.057,0.059,4,1120
Asterisk,m,0.85,x,x,0.024,0.025,0.017,0.045,0.028,0.036,0,1037
Asterisk,m,0.85,x,x,0.024,0.023,0.027,0.046,0.026,0.079,1,1060
Asterisk,m,0.85,x,x,0.024,0.022,0.031,0.039,0.058,0.066,2,1045
Asterisk,m,0.85,x,x,0.024,0.027,0.010,0.047,0.023,0.029,3,1048
Asterisk,m,0.85,x,x,0.024,0.021,0.034,0.039,0.058,0.059,4,1044
Asterisk,m,0.90,x,x,0.024,0.025,0.017,0.045,0.028,0.038,0,936
Asterisk,m,0.90,x,x,0.024,0.023,0.027,0.046,0.027,0.088,1,954
Asterisk,m,0.90,x,x,0.024,0.022,0.031,0.038,0.064,0.081,2,946
Asterisk,m,0.90,x,x,0.024,0.027,0.010,0.047,0.023,0.030,3,950
Asterisk,m,0.90,x,x,0.024,0.021,0.034,0.040,0.047,0.062,4,942
Asterisk,m,0.92,x,x,0.024,0.025,0.017,0.046,0.029,0.041,0,880
Asterisk,m,0.92,x,x,0.024,0.023,0.027,0.047,0.028,0.092,1,893
Asterisk,m,0.92,x,x,0.024,0.022,0.031,0.039,0.064,0.084,2,885
Asterisk,m,0.92,x,x,0.024,0.027,0.010,0.048,0.023,0.031,3,893
Asterisk,m,0.92,x,x,0.024,0.021,0.034,0.041,0.040,0.060,4,879
Asterisk,m,0.94,x,x,0.024,0.025,0.017,0.045,0.034,0.038,0,815
Asterisk,m,0.94,x,x,0.024,0.023,0.027,0.049,0.030,0.101,1,825
Asterisk,m,0.94,x,x,0.024,0.022,0.031,0.039,0.069,0.083,2,817
Asterisk,m,0.94,x,x,0.024,0.027,0.010,0.048,0.033,0.033,3,820
Asterisk,m,0.94,x,x,0.024,0.021,0.034,0.044,0.043,0.060,4,810
Asterisk,m,0.95,x,x,0.024,0.025,0.017,0.046,0.034,0.041,0,775
Asterisk,m,0.95,x,x,0.024,0.023,0.027,0.050,0.030,0.119,1,785
Asterisk,m,0.95,x,x,0.024,0.022,0.031,0.042,0.038,0.084,2,777
Asterisk,m,0.95,x,x,0.024,0.027,0.010,0.049,0.025,0.030,3,781
Asterisk,m,0.95,x,x,0.024,0.021,0.034,0.046,0.000,0.062,4,768
Asterisk,m,0.96,x,x,0.024,0.025,0.017,0.046,0.000,0.042,0,722
Asterisk,m,0.96,x,x,0.024,0.023,0.027,0.050,0.032,0.123,1,726
Asterisk,m,0.96,x,x,0.024,0.022,0.031,0.042,0.038,0.075,2,723
Asterisk,m,0.96,x,x,0.024,0.027,0.010,0.049,0.036,0.031,3,729
Asterisk,m,0.96,x,x,0.024,0.021,0.034,0.049,0.000,0.059,4,711
Asterisk,m,0.98,x,x,0.024,0.025,0.017,0.046,0.000,0.043,0,581
Asterisk,m,0.98,x,x,0.024,0.023,0.027,0.048,0.026,0.093,1,578
Asterisk,m,0.98,x,x,0.024,0.022,0.031,0.039,0.064,0.085,2,583
