program,model,filter,plus,minus,AD,AD train,AD test,best train,predicted,best test,fold,dwc
Asterisk,c,-999,1,1,0.024,0.025,0.017,0.083,0.000,0.040,0,3187
Asterisk,c,-999,1,1,0.024,0.023,0.027,0.087,0.000,0.049,1,3208
Asterisk,c,-999,1,1,0.024,0.022,0.031,0.064,0.000,0.035,2,3170
Asterisk,c,-999,1,1,0.024,0.027,0.010,0.096,0.000,0.022,3,3173
Asterisk,c,-999,1,1,0.024,0.021,0.034,0.081,0.000,0.085,4,3183
Asterisk,c,-999,1,10,0.024,0.025,0.017,0.076,0.000,0.040,0,3187
Asterisk,c,-999,1,10,0.024,0.023,0.027,0.069,0.036,0.049,1,3208
Asterisk,c,-999,1,10,0.024,0.022,0.031,0.065,0.000,0.035,2,3170
Asterisk,c,-999,1,10,0.024,0.027,0.010,0.076,0.000,0.022,3,3173
Asterisk,c,-999,1,10,0.024,0.021,0.034,0.061,0.000,0.085,4,3183
Asterisk,c,-999,1,100,0.024,0.025,0.017,0.076,0.000,0.040,0,3187
Asterisk,c,-999,1,100,0.024,0.023,0.027,0.069,0.036,0.049,1,3208
Asterisk,c,-999,1,100,0.024,0.022,0.031,0.065,0.000,0.035,2,3170
Asterisk,c,-999,1,100,0.024,0.027,0.010,0.076,0.000,0.022,3,3173
Asterisk,c,-999,1,100,0.024,0.021,0.034,0.061,0.000,0.085,4,3183
Asterisk,c,-999,1,1000,0.024,0.025,0.017,0.076,0.000,0.040,0,3187
Asterisk,c,-999,1,1000,0.024,0.023,0.027,0.069,0.036,0.049,1,3208
Asterisk,c,-999,1,1000,0.024,0.022,0.031,0.065,0.000,0.035,2,3170
Asterisk,c,-999,1,1000,0.024,0.027,0.010,0.076,0.000,0.022,3,3173
Asterisk,c,-999,1,1000,0.024,0.021,0.034,0.061,0.000,0.085,4,3183
Asterisk,c,-999,1,2,0.024,0.025,0.017,0.076,0.000,0.040,0,3187
Asterisk,c,-999,1,2,0.024,0.023,0.027,0.069,0.036,0.049,1,3208
Asterisk,c,-999,1,2,0.024,0.022,0.031,0.065,0.000,0.035,2,3170
Asterisk,c,-999,1,2,0.024,0.027,0.010,0.076,0.000,0.022,3,3173
Asterisk,c,-999,1,2,0.024,0.021,0.034,0.061,0.000,0.085,4,3183
Asterisk,c,-999,1,3,0.024,0.025,0.017,0.076,0.000,0.040,0,3187
Asterisk,c,-999,1,3,0.024,0.023,0.027,0.069,0.036,0.049,1,3208
Asterisk,c,-999,1,3,0.024,0.022,0.031,0.065,0.000,0.035,2,3170
Asterisk,c,-999,1,3,0.024,0.027,0.010,0.076,0.000,0.022,3,3173
Asterisk,c,-999,1,3,0.024,0.021,0.034,0.061,0.000,0.085,4,3183
Asterisk,c,-999,10,1,0.024,0.025,0.017,0.179,0.000,0.059,0,3187
Asterisk,c,-999,10,1,0.024,0.023,0.027,0.263,0.134,0.060,1,3208
Asterisk,c,-999,10,1,0.024,0.022,0.031,0.162,0.034,0.049,2,3170
Asterisk,c,-999,10,1,0.024,0.027,0.010,0.189,0.000,0.100,3,3173
Asterisk,c,-999,10,1,0.024,0.021,0.034,0.161,0.000,0.076,4,3183
Asterisk,c,-999,100,1,0.024,0.025,0.017,0.469,0.000,0.061,0,3187
Asterisk,c,-999,100,1,0.024,0.023,0.027,0.426,0.000,0.117,1,3208
Asterisk,c,-999,100,1,0.024,0.022,0.031,0.416,0.109,0.162,2,3170
Asterisk,c,-999,100,1,0.024,0.027,0.010,0.531,0.167,0.175,3,3173
Asterisk,c,-999,100,1,0.024,0.021,0.034,0.398,0.046,0.153,4,3183
Asterisk,c,-999,1000,1,0.024,0.025,0.017,0.579,0.000,0.091,0,3187
Asterisk,c,-999,1000,1,0.024,0.023,0.027,0.523,0.167,0.167,1,3208
Asterisk,c,-999,1000,1,0.024,0.022,0.031,0.531,0.070,0.163,2,3170
Asterisk,c,-999,1000,1,0.024,0.027,0.010,0.554,0.139,0.141,3,3173
Asterisk,c,-999,1000,1,0.024,0.021,0.034,0.497,0.060,0.219,4,3183
Asterisk,c,-999,11,4,0.024,0.025,0.017,0.110,0.000,0.040,0,3187
Asterisk,c,-999,11,4,0.024,0.023,0.027,0.110,0.035,0.045,1,3208
Asterisk,c,-999,11,4,0.024,0.022,0.031,0.085,0.000,0.035,2,3170
Asterisk,c,-999,11,4,0.024,0.027,0.010,0.122,0.000,0.022,3,3173
Asterisk,c,-999,11,4,0.024,0.021,0.034,0.081,0.000,0.079,4,3183
Asterisk,c,-999,2,1,0.024,0.025,0.017,0.110,0.000,0.040,0,3187
Asterisk,c,-999,2,1,0.024,0.023,0.027,0.110,0.035,0.049,1,3208
Asterisk,c,-999,2,1,0.024,0.022,0.031,0.085,0.000,0.035,2,3170
Asterisk,c,-999,2,1,0.024,0.027,0.010,0.122,0.000,0.022,3,3173
Asterisk,c,-999,2,1,0.024,0.021,0.034,0.081,0.000,0.079,4,3183
Asterisk,c,-999,3,1,0.024,0.025,0.017,0.123,0.000,0.040,0,3187
Asterisk,c,-999,3,1,0.024,0.023,0.027,0.129,0.034,0.045,1,3208
Asterisk,c,-999,3,1,0.024,0.022,0.031,0.099,0.000,0.035,2,3170
Asterisk,c,-999,3,1,0.024,0.027,0.010,0.129,0.000,0.022,3,3173
Asterisk,c,-999,3,1,0.024,0.021,0.034,0.081,0.000,0.079,4,3183
Asterisk,c,-999,3,2,0.024,0.025,0.017,0.090,0.000,0.040,0,3187
Asterisk,c,-999,3,2,0.024,0.023,0.027,0.090,0.036,0.049,1,3208
Asterisk,c,-999,3,2,0.024,0.022,0.031,0.078,0.000,0.035,2,3170
Asterisk,c,-999,3,2,0.024,0.027,0.010,0.103,0.000,0.022,3,3173
Asterisk,c,-999,3,2,0.024,0.021,0.034,0.081,0.000,0.084,4,3183
Asterisk,c,-999,3,4,0.024,0.025,0.017,0.076,0.000,0.040,0,3187
Asterisk,c,-999,3,4,0.024,0.023,0.027,0.069,0.036,0.049,1,3208
Asterisk,c,-999,3,4,0.024,0.022,0.031,0.065,0.000,0.035,2,3170
Asterisk,c,-999,3,4,0.024,0.027,0.010,0.076,0.000,0.022,3,3173
Asterisk,c,-999,3,4,0.024,0.021,0.034,0.061,0.000,0.085,4,3183
Asterisk,c,-999,4,1,0.024,0.025,0.017,0.137,0.000,0.040,0,3187
Asterisk,c,-999,4,1,0.024,0.023,0.027,0.135,0.034,0.045,1,3208
Asterisk,c,-999,4,1,0.024,0.022,0.031,0.112,0.000,0.035,2,3170
Asterisk,c,-999,4,1,0.024,0.027,0.010,0.141,0.000,0.022,3,3173
Asterisk,c,-999,4,1,0.024,0.021,0.034,0.091,0.000,0.079,4,3183
Asterisk,c,-999,5,1,0.024,0.025,0.017,0.142,0.000,0.040,0,3187
Asterisk,c,-999,5,1,0.024,0.023,0.027,0.135,0.034,0.045,1,3208
Asterisk,c,-999,5,1,0.024,0.022,0.031,0.124,0.000,0.035,2,3170
Asterisk,c,-999,5,1,0.024,0.027,0.010,0.140,0.000,0.022,3,3173
Asterisk,c,-999,5,1,0.024,0.021,0.034,0.093,0.034,0.079,4,3183
Asterisk,c,-999,5,2,0.024,0.025,0.017,0.110,0.000,0.040,0,3187
Asterisk,c,-999,5,2,0.024,0.023,0.027,0.110,0.035,0.045,1,3208
Asterisk,c,-999,5,2,0.024,0.022,0.031,0.085,0.000,0.035,2,3170
Asterisk,c,-999,5,2,0.024,0.027,0.010,0.122,0.000,0.022,3,3173
Asterisk,c,-999,5,2,0.024,0.021,0.034,0.081,0.000,0.079,4,3183
Asterisk,c,-999,7,2,0.024,0.025,0.017,0.137,0.000,0.040,0,3187
Asterisk,c,-999,7,2,0.024,0.023,0.027,0.129,0.034,0.045,1,3208
Asterisk,c,-999,7,2,0.024,0.022,0.031,0.099,0.000,0.035,2,3170
Asterisk,c,-999,7,2,0.024,0.027,0.010,0.142,0.000,0.022,3,3173
Asterisk,c,-999,7,2,0.024,0.021,0.034,0.087,0.035,0.079,4,3183
Asterisk,c,-999,7,4,0.024,0.025,0.017,0.090,0.000,0.040,0,3187
Asterisk,c,-999,7,4,0.024,0.023,0.027,0.090,0.036,0.049,1,3208
Asterisk,c,-999,7,4,0.024,0.022,0.031,0.078,0.000,0.035,2,3170
Asterisk,c,-999,7,4,0.024,0.027,0.010,0.103,0.000,0.022,3,3173
Asterisk,c,-999,7,4,0.024,0.021,0.034,0.081,0.000,0.084,4,3183
Asterisk,c,-999,9,4,0.024,0.025,0.017,0.110,0.000,0.040,0,3187
Asterisk,c,-999,9,4,0.024,0.023,0.027,0.110,0.035,0.045,1,3208
Asterisk,c,-999,9,4,0.024,0.022,0.031,0.085,0.000,0.035,2,3170
Asterisk,c,-999,9,4,0.024,0.027,0.010,0.122,0.000,0.022,3,3173
Asterisk,c,-999,9,4,0.024,0.021,0.034,0.081,0.000,0.079,4,3183
Asterisk,c,0.00,1,1,0.024,0.025,0.017,0.302,0.000,0.000,0,12
Asterisk,c,0.00,1,1,0.024,0.023,0.027,0.333,0.000,0.000,1,12
Asterisk,c,0.00,1,1,0.024,0.022,0.031,0.292,0.000,0.000,2,11
Asterisk,c,0.00,1,1,0.024,0.027,0.010,0.309,0.000,0.000,3,13
Asterisk,c,0.00,1,1,0.024,0.021,0.034,0.236,0.000,0.000,4,8
Asterisk,c,0.00,1,10,0.024,0.025,0.017,0.254,0.000,0.000,0,9
Asterisk,c,0.00,1,10,0.024,0.023,0.027,0.280,0.000,0.000,1,10
Asterisk,c,0.00,1,10,0.024,0.022,0.031,0.263,0.000,0.000,2,9
Asterisk,c,0.00,1,10,0.024,0.027,0.010,0.263,0.000,0.000,3,11
Asterisk,c,0.00,1,10,0.024,0.021,0.034,0.205,0.000,0.000,4,7
Asterisk,c,0.00,1,100,0.024,0.025,0.017,0.254,0.000,0.000,0,9
